date,hour,dayofweek,dayofyear,temp,solar,wind,load
2023-01-01 00:00:00,0,6,1,10.66884771456958,-0.07622517976711185,1.73853930188051,17.53356531358392
2023-01-01 01:00:00,1,6,1,11.327964485899765,0.5325523115446106,2.0986034896998493,
2023-01-01 02:00:00,2,6,1,13.319822099659039,0.5215050299200705,1.1511776172762158,10.328752283603551
2023-01-01 03:00:00,3,6,1,15.23069732389911,0.9280720754110371,2.683638844204121,13.847641400068161
2023-01-01 04:00:00,4,6,1,14.268107205757204,1.4532229579873863,0.43802922155612456,11.776826090256785
2023-01-01 05:00:00,5,6,1,14.767625736054507,1.5688817872958198,2.539575041957425,15.172273029743547
2023-01-01 06:00:00,6,6,1,16.751346377065737,1.7594838090654652,1.6392180355991102,13.37230210630891
2023-01-01 07:00:00,7,6,1,15.769197422156596,2.101848999355536,2.267877241217164,23.594577549239464
2023-01-01 08:00:00,8,6,1,14.03278619454559,2.5718940992365757,1.884633613229775,25.586366096503543
2023-01-01 09:00:00,9,6,1,14.25022751107705,2.9215993619562592,1.8739499992006885,24.127732513709716
2023-01-01 10:00:00,10,6,1,12.208715868745884,3.052991023647819,1.99888203827012,30.291985623842965
2023-01-01 11:00:00,11,6,1,11.000499033500695,3.3175168108907984,2.1517619261068743,31.332007140029326
2023-01-01 12:00:00,12,6,1,10.414095833124382,3.0461530577479237,1.4690308567018633,35.36384773084276
2023-01-01 13:00:00,13,6,1,6.964758091387944,3.0471738268487463,2.287208830969949,40.72193057110252
2023-01-01 14:00:00,14,6,1,5.9472157290453165,2.872636309363585,1.015646978506937,43.150203069962515
2023-01-01 15:00:00,15,6,1,6.074312126384639,2.7551279055439624,1.6631310086585325,38.411664779165235
2023-01-01 16:00:00,16,6,1,4.829175422301731,3.036546083245372,2.1679113072175733,38.912629528997414
2023-01-01 17:00:00,17,6,1,5.6567517627082795,2.4528147187304934,2.263339900423741,40.04549604958367
2023-01-01 18:00:00,18,6,1,4.264109486037136,2.2092327186756218,1.942802661611048,39.636046265546575
2023-01-01 19:00:00,19,6,1,3.930200728777713,1.6129796673799621,1.430293889880766,33.260229839411174
2023-01-01 20:00:00,20,6,1,7.307655311557708,1.5949944720978892,2.2043540196754297,30.75234277720522
2023-01-01 21:00:00,21,6,1,6.4108233551390725,1.2895975922843188,1.2647096091829553,24.33421291347809
2023-01-01 22:00:00,22,6,1,7.739661766246269,1.0052018775000302,2.717174796903554,22.11835245923487
2023-01-01 23:00:00,23,6,1,7.4532901498322826,0.520965672391978,1.6155268141544088,18.66639175415002
